"Variables ->","gdp"
"Comments ->",""
"Class[Size] ->","tseries[101-by-1]"
"1996Q1",1.31481070e+00
"1996Q2",1.54229800e+00
"1996Q3",1.82197490e+00
"1996Q4",1.89804160e+00
"1997Q1",2.01779450e+00
"1997Q2",2.46787780e+00
"1997Q3",2.73113080e+00
"1997Q4",3.43377940e+00
"1998Q1",3.83211200e+00
"1998Q2",3.03664060e+00
"1998Q3",2.85983710e+00
"1998Q4",1.84673720e+00
"1999Q1",2.20908200e+00
"1999Q2",2.33295920e+00
"1999Q3",2.89887510e+00
"1999Q4",3.90973880e+00
"2000Q1",4.16545650e+00
"2000Q2",4.49651600e+00
"2000Q3",3.87763420e+00
"2000Q4",3.39383160e+00
"2001Q1",3.14890730e+00
"2001Q2",2.33503830e+00
"2001Q3",1.90809460e+00
"2001Q4",1.35567600e+00
"2002Q1",4.23984200e-01
"2002Q2",8.69941400e-01
"2002Q3",1.15388630e+00
"2002Q4",1.19109230e+00
"2003Q1",7.84597500e-01
"2003Q2",3.41970100e-01
"2003Q3",4.91549700e-01
"2003Q4",1.07419430e+00
"2004Q1",1.89795350e+00
"2004Q2",2.43463860e+00
"2004Q3",2.11909230e+00
"2004Q4",1.72681840e+00
"2005Q1",1.49125810e+00
"2005Q2",1.41202820e+00
"2005Q3",1.93361050e+00
"2005Q4",2.20280460e+00
"2006Q1",2.84520140e+00
"2006Q2",3.41576920e+00
"2006Q3",3.23421110e+00
"2006Q4",3.79295910e+00
"2007Q1",3.52921660e+00
"2007Q2",3.13233260e+00
"2007Q3",2.97583710e+00
"2007Q4",2.33894940e+00
"2008Q1",2.15564430e+00
"2008Q2",1.10160080e+00
"2008Q3",1.45015700e-01
"2008Q4",-2.13368850e+00
"2009Q1",-5.62658290e+00
"2009Q2",-5.34799490e+00
"2009Q3",-4.50317340e+00
"2009Q4",-2.35888990e+00
"2010Q1",1.22979970e+00
"2010Q2",2.24482790e+00
"2010Q3",2.29740100e+00
"2010Q4",2.47136780e+00
"2011Q1",2.90438050e+00
"2011Q2",1.91634650e+00
"2011Q3",1.60056720e+00
"2011Q4",5.98394400e-01
"2012Q1",-4.87915800e-01
"2012Q2",-7.63439200e-01
"2012Q3",-9.92945100e-01
"2012Q4",-1.04997840e+00
"2013Q1",-1.18379510e+00
"2013Q2",-3.84070200e-01
"2013Q3",3.81796000e-02
"2013Q4",7.50142700e-01
"2014Q1",1.55735230e+00
"2014Q2",1.23999190e+00
"2014Q3",1.35224830e+00
"2014Q4",1.51459240e+00
"2015Q1",1.76061540e+00
"2015Q2",1.97994830e+00
"2015Q3",1.96614830e+00
"2015Q4",2.00525820e+00
"2016Q1",1.87722740e+00
"2016Q2",1.69903260e+00
"2016Q3",1.71571950e+00
"2016Q4",2.07237350e+00
"2017Q1",2.19566670e+00
"2017Q2",2.68746370e+00
"2017Q3",3.03135260e+00
"2017Q4",3.06828460e+00
"2018Q1",2.50243460e+00
"2018Q2",2.23072740e+00
"2018Q3",1.57804350e+00
"2018Q4",1.20507860e+00
"2019Q1",1.54791200e+00
"2019Q2",1.31097910e+00
"2019Q3",1.40252800e+00
"2019Q4",9.74438300e-01
"2020Q1",-3.31777970e+00
"2020Q2",-1.46280250e+01
"2020Q3",-4.08856800e+00
"2020Q4",-4.73523940e+00
"2021Q1",-1.27431320e+00
